,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2,LR_pair,#ID Interactor A,ID Interactor B,Alt IDs Interactor A,Alt IDs Interactor B,Aliases Interactor A,Aliases Interactor B,Interaction Detection Method,Publication 1st Author,Publication Identifiers,Taxid Interactor A,Taxid Interactor B,Interaction Types,Source Database,Interaction Identifiers,Confidence Values
0,TGFA_EGFR,EGF,TGFA,EGFR,,,,,KEGG: hsa04012,Secreted Signaling,TGFA - EGFR,TGFA:EGFR,entrez gene/locuslink:1956,entrez gene/locuslink:7039,biogrid:108276|entrez gene/locuslink:EGFR|uniprot/swiss-prot:P00533|refseq:NP_001333829|refseq:NP_001333828|refseq:NP_958440|refseq:NP_005219|refseq:NP_001333827|refseq:NP_001333826|refseq:NP_958441|refseq:NP_001333870|refseq:NP_958439,biogrid:112897|entrez gene/locuslink:TGFA|uniprot/swiss-prot:P01135|refseq:NP_001093161|refseq:NP_001295088|refseq:NP_003227|refseq:NP_001295087,entrez gene/locuslink:ERBB(gene name synonym)|entrez gene/locuslink:ERBB1(gene name synonym)|entrez gene/locuslink:HER1(gene name synonym)|entrez gene/locuslink:NISBD2(gene name synonym)|entrez gene/locuslink:PIG61(gene name synonym)|entrez gene/locuslink:mENA(gene name synonym),entrez gene/locuslink:TFGA(gene name synonym),"psi-mi:""MI:0018""(two hybrid)",Kotlyar M (2015),pubmed:25402006,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1067440,-
1,OSM_OSMR_IL6ST,OSM,OSM,OSMR_IL6ST,,,,,KEGG: hsa04060,Secreted Signaling,OSM - (OSMR+IL6ST),OSM:OSMR_IL6ST,entrez gene/locuslink:5008,entrez gene/locuslink:3572,biogrid:111049|entrez gene/locuslink:OSM|uniprot/swiss-prot:P13725|refseq:NP_065391,biogrid:109786|entrez gene/locuslink:IL6ST|uniprot/swiss-prot:P40189|refseq:NP_001351208|refseq:NP_001351207|refseq:NP_001351206|refseq:NP_001351205|refseq:NP_001351204|refseq:NP_002175|refseq:NP_001177910|refseq:NP_786943,-,entrez gene/locuslink:CD130(gene name synonym)|entrez gene/locuslink:CDW130(gene name synonym)|entrez gene/locuslink:GP130(gene name synonym)|entrez gene/locuslink:IL-6RB(gene name synonym),"psi-mi:""MI:0004""(affinity chromatography technology)",Huttlin EL (2015),pubmed:26186194,taxid:9606,taxid:9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:1176790,score:0.999999936
2,TNFSF9_TNFRSF9,CD137,TNFSF9,TNFRSF9,,,,,KEGG: hsa04060,Secreted Signaling,TNFSF9 - TNFRSF9,TNFSF9:TNFRSF9,entrez gene/locuslink:3604,entrez gene/locuslink:8744,biogrid:109817|entrez gene/locuslink:TNFRSF9|uniprot/swiss-prot:Q07011|refseq:NP_001552,biogrid:114281|entrez gene/locuslink:TNFSF9|uniprot/swiss-prot:P41273|refseq:NP_003802,entrez gene/locuslink:4-1BB(gene name synonym)|entrez gene/locuslink:CD137(gene name synonym)|entrez gene/locuslink:CDw137(gene name synonym)|entrez gene/locuslink:ILA(gene name synonym),entrez gene/locuslink:4-1BB-L(gene name synonym)|entrez gene/locuslink:CD137L(gene name synonym),"psi-mi:""MI:0004""(affinity chromatography technology)",Huttlin EL (2015),pubmed:26186194,taxid:9606,taxid:9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:1177155,score:0.992349156
3,EFNB2_EPHB2,EPHB,EFNB2,EPHB2,,,,,PMID: 15114347,Cell-Cell Contact,EFNB2 - EPHB2,EFNB2:EPHB2,entrez gene/locuslink:1948,entrez gene/locuslink:2048,biogrid:108268|entrez gene/locuslink:EFNB2|entrez gene/locuslink:RP11-272L14.1|uniprot/swiss-prot:P52799|refseq:NP_004084|refseq:NP_001358986|refseq:NP_001358985,biogrid:108362|entrez gene/locuslink:EPHB2|uniprot/swiss-prot:P29323|refseq:NP_001296121|refseq:NP_004433|refseq:NP_001296122|refseq:NP_059145,entrez gene/locuslink:EPLG5(gene name synonym)|entrez gene/locuslink:HTKL(gene name synonym)|entrez gene/locuslink:Htk-L(gene name synonym)|entrez gene/locuslink:LERK5(gene name synonym),entrez gene/locuslink:CAPB(gene name synonym)|entrez gene/locuslink:DRT(gene name synonym)|entrez gene/locuslink:EK5(gene name synonym)|entrez gene/locuslink:EPHT3(gene name synonym)|entrez gene/locuslink:ERK(gene name synonym)|entrez gene/locuslink:Hek5(gene name synonym)|entrez gene/locuslink:PCBC(gene name synonym)|entrez gene/locuslink:Tyro5(gene name synonym),"psi-mi:""MI:0004""(affinity chromatography technology)",Huttlin EL (2015),pubmed:26186194,taxid:9606,taxid:9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:1177983,score:0.999999507
4,EFNB2_EPHB3,EPHB,EFNB2,EPHB3,,,,,PMID: 15114347,Cell-Cell Contact,EFNB2 - EPHB3,EFNB2:EPHB3,entrez gene/locuslink:1948,entrez gene/locuslink:2049,biogrid:108268|entrez gene/locuslink:EFNB2|entrez gene/locuslink:RP11-272L14.1|uniprot/swiss-prot:P52799|refseq:NP_004084|refseq:NP_001358986|refseq:NP_001358985,biogrid:108363|entrez gene/locuslink:EPHB3|uniprot/swiss-prot:P54753|refseq:NP_004434,entrez gene/locuslink:EPLG5(gene name synonym)|entrez gene/locuslink:HTKL(gene name synonym)|entrez gene/locuslink:Htk-L(gene name synonym)|entrez gene/locuslink:LERK5(gene name synonym),entrez gene/locuslink:ETK2(gene name synonym)|entrez gene/locuslink:HEK2(gene name synonym)|entrez gene/locuslink:TYRO6(gene name synonym),"psi-mi:""MI:0004""(affinity chromatography technology)",Huttlin EL (2015),pubmed:26186194,taxid:9606,taxid:9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:1177984,score:0.999990606
5,EFNB2_EPHB4,EPHB,EFNB2,EPHB4,,,,,PMID: 15114347,Cell-Cell Contact,EFNB2 - EPHB4,EFNB2:EPHB4,entrez gene/locuslink:1948,entrez gene/locuslink:2050,biogrid:108268|entrez gene/locuslink:EFNB2|entrez gene/locuslink:RP11-272L14.1|uniprot/swiss-prot:P52799|refseq:NP_004084|refseq:NP_001358986|refseq:NP_001358985,biogrid:108364|entrez gene/locuslink:EPHB4|uniprot/swiss-prot:P54760|refseq:NP_004435,entrez gene/locuslink:EPLG5(gene name synonym)|entrez gene/locuslink:HTKL(gene name synonym)|entrez gene/locuslink:Htk-L(gene name synonym)|entrez gene/locuslink:LERK5(gene name synonym),entrez gene/locuslink:HTK(gene name synonym)|entrez gene/locuslink:MYK1(gene name synonym)|entrez gene/locuslink:TYRO11(gene name synonym),"psi-mi:""MI:0004""(affinity chromatography technology)",Huttlin EL (2015),pubmed:26186194,taxid:9606,taxid:9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:1177986,score:0.999999784
6,CD96_PVR,CD96,CD96,PVR,,,,,PMID: 15034010,Cell-Cell Contact,CD96 - PVR,CD96:PVR,entrez gene/locuslink:10225,entrez gene/locuslink:5817,biogrid:115519|entrez gene/locuslink:CD96|uniprot/swiss-prot:P40200|refseq:NP_937839|refseq:NP_005807,biogrid:111775|entrez gene/locuslink:PVR|uniprot/swiss-prot:P15151|refseq:NP_006496|refseq:NP_001129242|refseq:NP_001129240|refseq:NP_001129241,entrez gene/locuslink:TACTILE(gene name synonym),entrez gene/locuslink:CD155(gene name synonym)|entrez gene/locuslink:HVED(gene name synonym)|entrez gene/locuslink:NECL5(gene name synonym)|entrez gene/locuslink:Necl-5(gene name synonym)|entrez gene/locuslink:PVS(gene name synonym)|entrez gene/locuslink:TAGE4(gene name synonym),"psi-mi:""MI:0004""(affinity chromatography technology)",Huttlin EL (2015),pubmed:26186194,taxid:9606,taxid:9606,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:1193376,score:0.903921414
7,SPP1_ITGAV_ITGB5,SPP1,SPP1,ITGAV_ITGB5,,,,,PMID: 21907263,Secreted Signaling,SPP1 - (ITGAV+ITGB5),SPP1:ITGAV_ITGB5,entrez gene/locuslink:6696,entrez gene/locuslink:3693,biogrid:112574|entrez gene/locuslink:SPP1|entrez gene/locuslink:PSEC0156|uniprot/swiss-prot:P10451|refseq:NP_001238759|refseq:NP_000573|refseq:NP_001035147|refseq:NP_001035149|refseq:NP_001238758,biogrid:109899|entrez gene/locuslink:ITGB5|uniprot/swiss-prot:P18084|refseq:NP_002204,entrez gene/locuslink:BNSP(gene name synonym)|entrez gene/locuslink:BSPI(gene name synonym)|entrez gene/locuslink:ETA-1(gene name synonym)|entrez gene/locuslink:OPN(gene name synonym),-,"psi-mi:""MI:0096""(pull down)",Hu DD (1995),pubmed:7592829,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1278206,-
8,CCL21_ACKR4,CCL,CCL21,ACKR4,,,,,KEGG: hsa04060,Secreted Signaling,CCL21 - ACKR4,CCL21:ACKR4,entrez gene/locuslink:51554,entrez gene/locuslink:6366,biogrid:119606|entrez gene/locuslink:ACKR4|uniprot/swiss-prot:Q9NPB9|refseq:NP_057641|refseq:NP_848540,biogrid:112269|entrez gene/locuslink:CCL21|entrez gene/locuslink:RP11-195F19.22-001|uniprot/swiss-prot:O00585|refseq:NP_002980,entrez gene/locuslink:CC-CKR-11(gene name synonym)|entrez gene/locuslink:CCBP2(gene name synonym)|entrez gene/locuslink:CCR-11(gene name synonym)|entrez gene/locuslink:CCR10(gene name synonym)|entrez gene/locuslink:CCR11(gene name synonym)|entrez gene/locuslink:CCRL1(gene name synonym)|entrez gene/locuslink:CCX CKR(gene name synonym)|entrez gene/locuslink:CCX-CKR(gene name synonym)|entrez gene/locuslink:CKR-11(gene name synonym)|entrez gene/locuslink:PPR1(gene name synonym)|entrez gene/locuslink:VSHK1(gene name synonym),entrez gene/locuslink:6Ckine(gene name synonym)|entrez gene/locuslink:CKb9(gene name synonym)|entrez gene/locuslink:ECL(gene name synonym)|entrez gene/locuslink:SCYA21(gene name synonym)|entrez gene/locuslink:SLC(gene name synonym)|entrez gene/locuslink:TCA4(gene name synonym),"psi-mi:""MI:0096""(pull down)",Gosling J (2000),pubmed:10706668,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1415138,-
9,CCL25_ACKR4,CCL,CCL25,ACKR4,,,,,KEGG: hsa04060,Secreted Signaling,CCL25 - ACKR4,CCL25:ACKR4,entrez gene/locuslink:51554,entrez gene/locuslink:6370,biogrid:119606|entrez gene/locuslink:ACKR4|uniprot/swiss-prot:Q9NPB9|refseq:NP_057641|refseq:NP_848540,biogrid:112273|entrez gene/locuslink:CCL25|uniprot/swiss-prot:O15444|refseq:NP_005615|refseq:NP_001188288,entrez gene/locuslink:CC-CKR-11(gene name synonym)|entrez gene/locuslink:CCBP2(gene name synonym)|entrez gene/locuslink:CCR-11(gene name synonym)|entrez gene/locuslink:CCR10(gene name synonym)|entrez gene/locuslink:CCR11(gene name synonym)|entrez gene/locuslink:CCRL1(gene name synonym)|entrez gene/locuslink:CCX CKR(gene name synonym)|entrez gene/locuslink:CCX-CKR(gene name synonym)|entrez gene/locuslink:CKR-11(gene name synonym)|entrez gene/locuslink:PPR1(gene name synonym)|entrez gene/locuslink:VSHK1(gene name synonym),entrez gene/locuslink:Ckb15(gene name synonym)|entrez gene/locuslink:SCYA25(gene name synonym)|entrez gene/locuslink:TECK(gene name synonym),"psi-mi:""MI:0096""(pull down)",Gosling J (2000),pubmed:10706668,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1415139,-
10,CCL19_ACKR4,CCL,CCL19,ACKR4,,,,,KEGG: hsa04060,Secreted Signaling,CCL19 - ACKR4,CCL19:ACKR4,entrez gene/locuslink:51554,entrez gene/locuslink:6363,biogrid:119606|entrez gene/locuslink:ACKR4|uniprot/swiss-prot:Q9NPB9|refseq:NP_057641|refseq:NP_848540,biogrid:112266|entrez gene/locuslink:CCL19|entrez gene/locuslink:RP11-195F19.11-003|uniprot/swiss-prot:Q99731|refseq:NP_006265,entrez gene/locuslink:CC-CKR-11(gene name synonym)|entrez gene/locuslink:CCBP2(gene name synonym)|entrez gene/locuslink:CCR-11(gene name synonym)|entrez gene/locuslink:CCR10(gene name synonym)|entrez gene/locuslink:CCR11(gene name synonym)|entrez gene/locuslink:CCRL1(gene name synonym)|entrez gene/locuslink:CCX CKR(gene name synonym)|entrez gene/locuslink:CCX-CKR(gene name synonym)|entrez gene/locuslink:CKR-11(gene name synonym)|entrez gene/locuslink:PPR1(gene name synonym)|entrez gene/locuslink:VSHK1(gene name synonym),entrez gene/locuslink:CKb11(gene name synonym)|entrez gene/locuslink:ELC(gene name synonym)|entrez gene/locuslink:MIP-3b(gene name synonym)|entrez gene/locuslink:MIP3B(gene name synonym)|entrez gene/locuslink:SCYA19(gene name synonym),"psi-mi:""MI:0096""(pull down)",Gosling J (2000),pubmed:10706668,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1415140,-
11,TAC1_TACR2,TAC,TAC1,TACR2,,,,,KEGG: hsa04080,Secreted Signaling,TAC1 - TACR2,TAC1:TACR2,entrez gene/locuslink:6863,entrez gene/locuslink:6865,biogrid:112727|entrez gene/locuslink:TAC1|uniprot/swiss-prot:P20366|refseq:NP_054704|refseq:NP_054702|refseq:NP_054703|refseq:NP_003173,biogrid:112728|entrez gene/locuslink:TACR2|uniprot/swiss-prot:P21452|refseq:NP_001048,entrez gene/locuslink:Hs.2563(gene name synonym)|entrez gene/locuslink:NK2(gene name synonym)|entrez gene/locuslink:NKNA(gene name synonym)|entrez gene/locuslink:NPK(gene name synonym)|entrez gene/locuslink:TAC2(gene name synonym),entrez gene/locuslink:NK2R(gene name synonym)|entrez gene/locuslink:NKNAR(gene name synonym)|entrez gene/locuslink:SKR(gene name synonym)|entrez gene/locuslink:TAC2R(gene name synonym),"psi-mi:""MI:0096""(pull down)",Bellucci F (2002),pubmed:11786503,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1416939,-
12,TAC4_TACR1,TAC,TAC4,TACR1,,,,,KEGG: hsa04080,Secreted Signaling,TAC4 - TACR1,TAC4:TACR1,entrez gene/locuslink:255061,entrez gene/locuslink:6869,biogrid:129073|entrez gene/locuslink:TAC4|uniprot/swiss-prot:Q86UU9|refseq:NP_001070974|refseq:NP_733786|refseq:NP_001070971|refseq:NP_001070973|refseq:NP_001070972,biogrid:112732|entrez gene/locuslink:TACR1|uniprot/swiss-prot:P25103|refseq:NP_001049|refseq:NP_056542,entrez gene/locuslink:EK(gene name synonym)|entrez gene/locuslink:HK-1(gene name synonym)|entrez gene/locuslink:HK1(gene name synonym)|entrez gene/locuslink:PPT-C(gene name synonym),entrez gene/locuslink:NK1R(gene name synonym)|entrez gene/locuslink:NKIR(gene name synonym)|entrez gene/locuslink:SPR(gene name synonym)|entrez gene/locuslink:TAC1R(gene name synonym),"psi-mi:""MI:0096""(pull down)",Bellucci F (2002),pubmed:11786503,taxid:9606,taxid:9606,"psi-mi:""MI:0407""(direct interaction)","psi-mi:""MI:0463""(biogrid)",biogrid:1416941,-
13,BTC_ERBB2_ERBB4,EGF,BTC,ERBB2_ERBB4,,,,,KEGG: hsa04012,Secreted Signaling,BTC - (ERBB2+ERBB4),BTC:ERBB2_ERBB4,entrez gene/locuslink:685,entrez gene/locuslink:2064,biogrid:107150|entrez gene/locuslink:BTC|uniprot/swiss-prot:P35070|refseq:NP_001720,biogrid:108376|entrez gene/locuslink:ERBB2|uniprot/swiss-prot:P04626|refseq:NP_001005862|refseq:NP_001276867|refseq:NP_001369735|refseq:NP_001369727|refseq:NP_001369726|refseq:NP_001369725|refseq:NP_001369724|refseq:NP_001369723|refseq:NP_001369722|refseq:NP_001369721|refseq:NP_001369720|refseq:NP_001369730|refseq:NP_001369729|refseq:NP_001369728|refseq:NP_001369714|refseq:NP_004439|refseq:NP_001369715|refseq:NP_001276866|refseq:NP_001369717|refseq:NP_001369712|refseq:NP_001369713|refseq:NP_001276865|refseq:NP_001369711|refseq:NP_001369716|refseq:NP_001369731|refseq:NP_001369732|refseq:NP_001369733|refseq:NP_001369718|refseq:NP_001369719,-,entrez gene/locuslink:CD340(gene name synonym)|entrez gene/locuslink:HER-2(gene name synonym)|entrez gene/locuslink:HER-2/neu(gene name synonym)|entrez gene/locuslink:HER2(gene name synonym)|entrez gene/locuslink:MLN 19(gene name synonym)|entrez gene/locuslink:NEU(gene name synonym)|entrez gene/locuslink:NGL(gene name synonym)|entrez gene/locuslink:TKR1(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1504572,-
14,CD86_CTLA4,CD86,CD86,CTLA4,,,,,PMID: 23954143,Cell-Cell Contact,CD86 - CTLA4,CD86:CTLA4,entrez gene/locuslink:942,entrez gene/locuslink:1493,biogrid:107380|entrez gene/locuslink:CD86|uniprot/swiss-prot:P42081|refseq:NP_001193853|refseq:NP_008820|refseq:NP_787058|refseq:NP_001193854|refseq:NP_795711,biogrid:107875|entrez gene/locuslink:CTLA4|uniprot/swiss-prot:P16410|refseq:NP_005205|refseq:NP_001032720,entrez gene/locuslink:B7-2(gene name synonym)|entrez gene/locuslink:B7.2(gene name synonym)|entrez gene/locuslink:B70(gene name synonym)|entrez gene/locuslink:CD28LG2(gene name synonym)|entrez gene/locuslink:LAB72(gene name synonym),entrez gene/locuslink:ALPS5(gene name synonym)|entrez gene/locuslink:CD(gene name synonym)|entrez gene/locuslink:CD152(gene name synonym)|entrez gene/locuslink:CELIAC3(gene name synonym)|entrez gene/locuslink:CTLA-4(gene name synonym)|entrez gene/locuslink:GRD4(gene name synonym)|entrez gene/locuslink:GSE(gene name synonym)|entrez gene/locuslink:IDDM12(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1504620,-
15,FGF5_FGFR4,FGF,FGF5,FGFR4,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF5 - FGFR4,FGF5:FGFR4,entrez gene/locuslink:2250,entrez gene/locuslink:2264,biogrid:108541|entrez gene/locuslink:FGF5|uniprot/swiss-prot:P12034|refseq:NP_149134|refseq:NP_001278741|refseq:NP_004455,biogrid:108555|entrez gene/locuslink:FGFR4|uniprot/swiss-prot:P22455|refseq:NP_002002|refseq:NP_998812|refseq:NP_075252|refseq:NP_001278909,entrez gene/locuslink:HBGF-5(gene name synonym)|entrez gene/locuslink:Smag-82(gene name synonym)|entrez gene/locuslink:TCMGLY(gene name synonym),entrez gene/locuslink:CD334(gene name synonym)|entrez gene/locuslink:JTK2(gene name synonym)|entrez gene/locuslink:TKF(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1504713,-
16,FGF8_FGFR1,FGF,FGF8,FGFR1,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF8 - FGFR1,FGF8:FGFR1,entrez gene/locuslink:2260,entrez gene/locuslink:2253,biogrid:108551|entrez gene/locuslink:FGFR1|uniprot/swiss-prot:P11362|refseq:NP_075598|refseq:NP_075593|refseq:NP_075594|refseq:NP_001167538|refseq:NP_056934|refseq:NP_001167536|refseq:NP_001167537|refseq:NP_001167534|refseq:NP_001167535,biogrid:108544|entrez gene/locuslink:FGF8|uniprot/swiss-prot:P55075|refseq:NP_006110|refseq:NP_149355|refseq:NP_149353|refseq:NP_001193318|refseq:NP_149354,entrez gene/locuslink:BFGFR(gene name synonym)|entrez gene/locuslink:CD331(gene name synonym)|entrez gene/locuslink:CEK(gene name synonym)|entrez gene/locuslink:FGFBR(gene name synonym)|entrez gene/locuslink:FGFR-1(gene name synonym)|entrez gene/locuslink:FLG(gene name synonym)|entrez gene/locuslink:FLT-2(gene name synonym)|entrez gene/locuslink:FLT2(gene name synonym)|entrez gene/locuslink:HBGFR(gene name synonym)|entrez gene/locuslink:HH2(gene name synonym)|entrez gene/locuslink:HRTFDS(gene name synonym)|entrez gene/locuslink:KAL2(gene name synonym)|entrez gene/locuslink:N-SAM(gene name synonym)|entrez gene/locuslink:OGD(gene name synonym)|entrez gene/locuslink:bFGF-R-1(gene name synonym),entrez gene/locuslink:AIGF(gene name synonym)|entrez gene/locuslink:FGF-8(gene name synonym)|entrez gene/locuslink:HBGF-8(gene name synonym)|entrez gene/locuslink:HH6(gene name synonym)|entrez gene/locuslink:KAL6(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1504716,-
17,FGF5_FGFR2,FGF,FGF5,FGFR2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF5 - FGFR2,FGF5:FGFR2,entrez gene/locuslink:2263,entrez gene/locuslink:2250,biogrid:108554|entrez gene/locuslink:FGFR2|uniprot/swiss-prot:P21802|refseq:NP_000132|refseq:NP_075259|refseq:NP_075418|refseq:NP_001138389|refseq:NP_001138388|refseq:NP_001138390|refseq:NP_001138386|refseq:NP_001138385|refseq:NP_001138387|refseq:NP_001138391,biogrid:108541|entrez gene/locuslink:FGF5|uniprot/swiss-prot:P12034|refseq:NP_149134|refseq:NP_001278741|refseq:NP_004455,entrez gene/locuslink:BBDS(gene name synonym)|entrez gene/locuslink:BEK(gene name synonym)|entrez gene/locuslink:BFR-1(gene name synonym)|entrez gene/locuslink:CD332(gene name synonym)|entrez gene/locuslink:CEK3(gene name synonym)|entrez gene/locuslink:CFD1(gene name synonym)|entrez gene/locuslink:ECT1(gene name synonym)|entrez gene/locuslink:JWS(gene name synonym)|entrez gene/locuslink:K-SAM(gene name synonym)|entrez gene/locuslink:KGFR(gene name synonym)|entrez gene/locuslink:TK14(gene name synonym)|entrez gene/locuslink:TK25(gene name synonym),entrez gene/locuslink:HBGF-5(gene name synonym)|entrez gene/locuslink:Smag-82(gene name synonym)|entrez gene/locuslink:TCMGLY(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1504723,-
18,FGF8_FGFR2,FGF,FGF8,FGFR2,,,,FGF inhibition receptor,PMC: 4393358,Secreted Signaling,FGF8 - FGFR2,FGF8:FGFR2,entrez gene/locuslink:2263,entrez gene/locuslink:2253,biogrid:108554|entrez gene/locuslink:FGFR2|uniprot/swiss-prot:P21802|refseq:NP_000132|refseq:NP_075259|refseq:NP_075418|refseq:NP_001138389|refseq:NP_001138388|refseq:NP_001138390|refseq:NP_001138386|refseq:NP_001138385|refseq:NP_001138387|refseq:NP_001138391,biogrid:108544|entrez gene/locuslink:FGF8|uniprot/swiss-prot:P55075|refseq:NP_006110|refseq:NP_149355|refseq:NP_149353|refseq:NP_001193318|refseq:NP_149354,entrez gene/locuslink:BBDS(gene name synonym)|entrez gene/locuslink:BEK(gene name synonym)|entrez gene/locuslink:BFR-1(gene name synonym)|entrez gene/locuslink:CD332(gene name synonym)|entrez gene/locuslink:CEK3(gene name synonym)|entrez gene/locuslink:CFD1(gene name synonym)|entrez gene/locuslink:ECT1(gene name synonym)|entrez gene/locuslink:JWS(gene name synonym)|entrez gene/locuslink:K-SAM(gene name synonym)|entrez gene/locuslink:KGFR(gene name synonym)|entrez gene/locuslink:TK14(gene name synonym)|entrez gene/locuslink:TK25(gene name synonym),entrez gene/locuslink:AIGF(gene name synonym)|entrez gene/locuslink:FGF-8(gene name synonym)|entrez gene/locuslink:HBGF-8(gene name synonym)|entrez gene/locuslink:HH6(gene name synonym)|entrez gene/locuslink:KAL6(gene name synonym),"psi-mi:""MI:0428""(imaging technique)",Chen TC (2014),pubmed:25241761,taxid:9606,taxid:9606,"psi-mi:""MI:0403""(colocalization)","psi-mi:""MI:0463""(biogrid)",biogrid:1504725,-
